id,image_slot,author,poem_title,category,mood,stanza,source,license
LS104,image_104,Emily Dickinson,,Love & Separation,Romantic,"We cover thee, sweet face.
Not that we tire of thee,
But that thyself fatigue of us;
Remember, as thou flee,
We follow thee until
Thou notice us no more,
And then, reluctant, turn away
To con thee o'er and o'er,
And blame the scanty love
We were content to show,
Augmented, sweet, a hundred fold
If thou would'st take it now.",https://www.gutenberg.org/ebooks/12241,Public domain / CC0 dataset
LS105,image_105,Gerard Manley Hopkins,PART THE SECOND,Love & Separation,Romantic,"18
Ah, touched in your bower of bone
Are you! turned for an exquisite smart,
Have you! make words break from me here all alone,
Do you!--mother of being in me, heart.
O unteachably after evil, but uttering truth,
Why, tears! is it? tears; such a melting, a madrigal start!
Never-eldering revel and river of youth,
What can it be, this glee? the good you have there of your own?",https://www.gutenberg.org/ebooks/22403,Public domain / CC0 dataset
LS106,image_106,Thomas Hardy,,Love & Separation,Romantic,"The Dame has no regard, alas, my maiden,
For love and loss like mine—
No sympathy with mind-sight memory-laden;
Only with fickle eyne.
To her mechanic artistry
My dreams are all unknown,
And why I wish that thou couldst be
But One’s alone!",https://www.gutenberg.org/ebooks/3167,Public domain / CC0 dataset
LS107,image_107,Walt Whitman,The Sleepers,Love & Separation,Romantic,"I too pass from the night,
I stay a while away O night, but I return to you again and love you.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
LS108,image_108,William Wordsworth,And this place our forefathers made for man!,Love & Separation,Romantic,"With other ministrations thou, O nature!
Healest thy wandering and distempered child:
Thou pourest on him thy soft influences,
Thy sunny hues, fair forms, and breathing sweets,
Thy melodies of woods, and winds, and waters,
Till he relent, and can no more endure
To be a jarring and a dissonant thing,
Amid this general dance and minstrelsy;
But, bursting into tears, wins back his way,
His angry spirit healed and harmonized
By the benignant touch of love and beauty.",https://www.gutenberg.org/ebooks/9622,Public domain / CC0 dataset
LS109,image_109,Alfred Tennyson,,Love & Separation,Romantic,"Courage, poor heart of stone!
I will not ask thee why
Thou canst not understand
That thou art left for ever alone:
Courage, poor stupid heart of stone.--
Or if I ask thee why,
Care not thou to reply:
She is but dead, and the time is at hand
When thou shalt more than die.",https://www.gutenberg.org/ebooks/56913,Public domain / CC0 dataset
LS110,image_110,Christina Rossetti,"Long have I longed, till I am tired",Love & Separation,Romantic,"Of longing and desire;
Farewell my points in vain desired,
My dying fire;
Farewell all things that die and fail and tire.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
LS111,image_111,Christina Rossetti,Out of the church she followed them,Love & Separation,Romantic,"""Take my share of a fickle heart,
Mine of a paltry love:
Take it or leave it as you will,
I wash my hands thereof.""",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
LS112,image_112,Christina Rossetti,Out of the church she followed them,Love & Separation,Romantic,"'Take my share of a fickle heart,
Mine of a paltry love:
Take it or leave it as you will,
I wash my hands thereof.'                                        40",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
LS113,image_113,Christina Rossetti,"The mystery of Life, the mystery",Love & Separation,Romantic,"As Roses that droop
Half warm, half chill, in the languid May,
And breathe out a scent
Sweet and faint;
Till the wind gives one swoop
To scatter their beauty away.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
LS114,image_114,Edgar Allan Poe,III,Love & Separation,Romantic,"_Voice_ (_more loudly_). “Is it so strong
As for to leave me thus,
That have loved thee so long,
In wealth and woe among?
And is thy heart so strong
As for to leave me thus?
Say nay! say nay!”",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS115,image_115,Edwin Arlington Robinson,,Love & Separation,Romantic,"O shades of you that loved him long before
The cruel threads of that black sail were spun,
May loyal arms and ancient welcomings
Receive him once again
Who now no longer moves
Here in this flickering dance of changing days,
Where a battle is lost and won for a withered wreath,
And the black master Death is over all,
To chill with his approach,
To level with his touch,
The reigning strength of youth,
The fluttered heart of age.",https://www.gutenberg.org/ebooks/313,Public domain / CC0 dataset
LS116,image_116,Elizabeth Barrett Browning,"Belovëd, thou hast brought me many flowers",Love & Separation,Romantic,"Plucked in the garden, all the summer through,
And winter, and it seemed as if they grew
In this close room, nor missed the sun and showers.
So, in the like name of that love of ours,
Take back these thoughts which here unfolded too,
And which on warm and cold days I withdrew
From my heart’s ground.  Inde",https://www.gutenberg.org/ebooks/2002,Public domain / CC0 dataset
LS117,image_117,Emily Dickinson,,Love & Separation,Romantic,"The sweeping up the heart,
And putting love away
We shall not want to use again
Until eternity.",https://www.gutenberg.org/ebooks/2678,Public domain / CC0 dataset
LS118,image_118,Gerard Manley Hopkins,44,Love & Separation,Romantic,"I am in Ireland now; now I am at a third
Remove. Not but in all removes I can
Kind love both give and get. Only what word
Wisest my heart breeds dark heaven's baffling ban
Bars or hell's spell thwarts. This to hoard unheard,
Heard unheeded, leaves me a lonely began.",https://www.gutenberg.org/ebooks/22403,Public domain / CC0 dataset
